Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"JINHUI SHIPP TRANS";BMG5137R1088;JIN;"Oslo Børs";NOK;5.62;5.62;5.50;5.50;"04/07/2025 16:14";CET;91303;506067.02;5.50;04/07/2025
"JÆREN SPAREBANK";NO0010359433;JAREN;"Oslo Børs";NOK;348.45;348.50;345.00;348.50;"04/07/2025 16:02";CET;830;288274.85;348.50;04/07/2025
KALDVIK;NO0010884794;KLDVK;"Euronext Growth Oslo";NOK;13.70;14.10;13.70;14.10;"04/07/2025 16:00";CET;6601;92233.70;14.10;04/07/2025
KID;NO0010743545;KID;"Oslo Børs";NOK;155.80;158.00;155.00;157.00;"04/07/2025 16:25";CET;23563;3699718.60;157.00;04/07/2025
KITRON;NO0003079709;KIT;"Oslo Børs";NOK;61.00;61.95;60.75;61.70;"04/07/2025 16:25";CET;470424;28978373.00;61.70;04/07/2025
"KLAVENESS COMBINAT";NO0010833262;KCC;"Oslo Børs";NOK;63.70;63.70;62.40;62.60;"04/07/2025 16:25";CET;23403;1468894.90;62.60;04/07/2025
"KMC PROPERTIES";NO0010360175;KMCP;"Oslo Børs";NOK;0.164;0.1735;0.159;0.162;"04/07/2025 16:28";CET;6885146;1110399.552;0.162;04/07/2025
KOMPLETT;NO0011016040;KOMPL;"Oslo Børs";NOK;12.80;12.95;12.70;12.95;"04/07/2025 16:19";CET;26154;334612.50;12.95;04/07/2025
"KONGSBERG AUTOMOT";NO0003033102;KOA;"Oslo Børs";NOK;1.59;1.608;1.58;1.58;"04/07/2025 16:25";CET;2156017;3423596.16;1.58;04/07/2025
"KONGSBERG GRUPPEN";NO0013536151;KOG;"Oslo Børs";NOK;363.00;369.35;362.00;367.40;"04/07/2025 16:26";CET;629085;230642545.225;367.40;04/07/2025
"KRAFT BANK";NO0010815103;KRAB;"Euronext Growth Oslo";NOK;9.85;10.60;9.85;10.00;"03/07/2025 15:24";CET;78284;784478.50;10.00;04/07/2025
"LERØY SEAFOOD GP";NO0003096208;LSG;"Oslo Børs";NOK;48.54;49.00;48.36;48.52;"04/07/2025 16:25";CET;450330;21911721.74;48.52;04/07/2025
